piratesofersatz_01_leinster_64kb_f000001|The pirates of ersatz by Murray Leinster. Chapter 1.|The pirates of ersatz by Murray Leinster. Chapter one.
piratesofersatz_01_leinster_64kb_f000049|Everybody — Hoddan stared.|Everybody - Hoddan stared.
piratesofersatz_01_leinster_64kb_f000050|No more talk! snapped the nearest cop. His teeth were chattering. Keep quiet or else!|No more talk! snapped the nearest cop. His teeth were chattering. Keep quiet or else!
piratesofersatz_01_leinster_64kb_f000051|Hoddan shut up. He watched — dressing the while as his clothing was inspected and then handed to him — while the cops completed the examination of his room.|Hoddan shut up. He watched - dressing the while as his clothing was inspected and then handed to him - while the cops completed the examination of his room.
piratesofersatz_01_leinster_64kb_f000052|They were insanely thorough, though Hoddan hadn't the least idea what they might be looking for. When they began to rip up the floor and pull down the walls,|They were insanely thorough, though Hoddan hadn't the least idea what they might be looking for. When they began to rip up the floor and pull down the walls,
piratesofersatz_01_leinster_64kb_f000053|the other cops led him outside.|the other cops led him outside.
piratesofersatz_01_leinster_64kb_f000054|There was a fleet of police trucks in the shaded street outdoors. They piled him in one, and four cops climbed after him, keeping stun-pistols trained on him during the maneuver.|There was a fleet of police trucks in the shaded street outdoors. They piled him in one, and four cops climbed after him, keeping stun-pistols trained on him during the maneuver.
piratesofersatz_01_leinster_64kb_f000055|Out of the corner of his eye he saw Derec climbing into another truck. The entire fleet sped away together. The whole affair had been taken with enormous seriousness by the police.|Out of the corner of his eye he saw Derec climbing into another truck. The entire fleet sped away together. The whole affair had been taken with enormous seriousness by the police.
piratesofersatz_01_leinster_64kb_f000056|Traffic was detoured from their route. When they swung up on an elevated expressway, with raised-up trees on either side, there was no other vehicle in sight. They raced on downtown.|Traffic was detoured from their route. When they swung up on an elevated expressway, with raised-up trees on either side, there was no other vehicle in sight. They raced on downtown.
piratesofersatz_01_leinster_64kb_f000057|They rolled off the expressway. They rolled down a cleared avenue. Hoddan recognized the Detention Building. Its gate swung wide.|They rolled off the expressway. They rolled down a cleared avenue. Hoddan recognized the Detention Building. Its gate swung wide.
piratesofersatz_01_leinster_64kb_f000058|The truck he rode in went inside. The gate closed. The other trucks went away — rapidly.|The truck he rode in went inside. The gate closed. The other trucks went away - rapidly.
piratesofersatz_01_leinster_64kb_f000059|Hoddan alighted and saw that the grim gray wall of the courtyard had a surprising number of guards mustered to sweep the open space with gunfire if anybody made a suspicious movement.|Hoddan alighted and saw that the grim gray wall of the courtyard had a surprising number of guards mustered to sweep the open space with gunfire if anybody made a suspicious movement.
piratesofersatz_01_leinster_64kb_f000060|He shook his head. Nobody had mentioned Zan, so this simply didn't make sense. His conscience was wholly clear except about his native planet.|He shook his head. Nobody had mentioned Zan, so this simply didn't make sense. His conscience was wholly clear except about his native planet.
piratesofersatz_01_leinster_64kb_f000061|This was insanity! He went curiously into the building and into the hearing room. His guards, there, surrendered him to courtroom guards and went away with almost hysterical haste.|This was insanity! He went curiously into the building and into the hearing room. His guards, there, surrendered him to courtroom guards and went away with almost hysterical haste.
piratesofersatz_01_leinster_64kb_f000062|Nobody wanted to be near him.|Nobody wanted to be near him.
piratesofersatz_01_leinster_64kb_f000063|Hoddan stared about. The courtroom was highly informal. The justice sat at an ordinary desk. There were comfortable chairs.|Hoddan stared about. The courtroom was highly informal. The justice sat at an ordinary desk. There were comfortable chairs.
piratesofersatz_01_leinster_64kb_f000064|The air was clean. The atmosphere was that of a conference room in which reasonable men could discuss differences of opinion in calm leisure.|The air was clean. The atmosphere was that of a conference room in which reasonable men could discuss differences of opinion in calm leisure.
piratesofersatz_01_leinster_64kb_f000065|Only on a world like Walden would a prisoner brought in by police be dealt with in such surroundings.|Only on a world like Walden would a prisoner brought in by police be dealt with in such surroundings.
piratesofersatz_01_leinster_64kb_f000066|Derec came in by another door, with a man Hoddan recognized as the attorney who'd represented Nedda's father in certain past interviews.|Derec came in by another door, with a man Hoddan recognized as the attorney who'd represented Nedda's father in certain past interviews.
piratesofersatz_01_leinster_64kb_f000067|There'd been no mention of Nedda as toying with the thought of marrying Hoddan then, of course. It had been strictly business.|There'd been no mention of Nedda as toying with the thought of marrying Hoddan then, of course. It had been strictly business.
piratesofersatz_01_leinster_64kb_f000068|Nedda's father was Chairman of the Power Board, a director of the Planetary Association of Manufacturers, a committeeman of the Banker's League, and other important things.|Nedda's father was Chairman of the Power Board, a director of the Planetary Association of Manufacturers, a committeeman of the Banker's League, and other important things.
piratesofersatz_01_leinster_64kb_f000069|Hoddan had been thrown out of his offices several times. He now scowled ungraciously at the lawyer who had ordered him thrown out. He saw Derec wringing his hands.|Hoddan had been thrown out of his offices several times. He now scowled ungraciously at the lawyer who had ordered him thrown out. He saw Derec wringing his hands.
piratesofersatz_01_leinster_64kb_f000070|An agitated man in court uniform came to his side.|An agitated man in court uniform came to his side.
piratesofersatz_01_leinster_64kb_f000071|I'm the Citizen's Representative, he said uneasily. I'm to look after your interests. Do you want a personal lawyer?|I'm the Citizen's Representative, he said uneasily. I'm to look after your interests. Do you want a personal lawyer?
piratesofersatz_01_leinster_64kb_f000072|Why? asked Hoddan. He felt splendidly confident.|Why? asked Hoddan. He felt splendidly confident.
piratesofersatz_01_leinster_64kb_f000073|The charges — Do you wish a psychiatric examination — claiming no responsibility? asked the Representative anxiously. It might.|The charges - Do you wish a psychiatric examination - claiming no responsibility? asked the Representative anxiously. It might.
piratesofersatz_01_leinster_64kb_f000074|it might really be bestI'm not crazy, said Hoddan, though this looks like it.|it might really be bestI'm not crazy, said Hoddan, though this looks like it.
piratesofersatz_01_leinster_64kb_f000075|The Citizen's Representative spoke to the justice.|The Citizen's Representative spoke to the justice.
piratesofersatz_01_leinster_64kb_f000076|Sir, the accused waives psychiatric examination, without prejudice to a later claim of no responsibility.|Sir, the accused waives psychiatric examination, without prejudice to a later claim of no responsibility.
piratesofersatz_01_leinster_64kb_f000077|Nedda's father's attorney watched with bland eyes. Hoddan said impatiently:|Nedda's father's attorney watched with bland eyes. Hoddan said impatiently:
piratesofersatz_01_leinster_64kb_f000078|Let's get started so this will make some sense! I know what I've done. What monstrous crime am I charged with?|Let's get started so this will make some sense! I know what I've done. What monstrous crime am I charged with?
piratesofersatz_01_leinster_64kb_f000079|The charges against you, said the justice politely, are that on the night of Three Twenty-seven last, you, Bron Hoddan, entered the fenced-in grounds surrounding the Mid-Continent power receptor station.|The charges against you, said the justice politely, are that on the night of Three Twenty-seven last, you, Bron Hoddan, entered the fenced-in grounds surrounding the Mid-Continent power receptor station.
piratesofersatz_01_leinster_64kb_f000080|It is charged that you passed two no-admittance signs. You arrived at a door marked 'Authorized Personnel Only.' You broke the lock of that door.|It is charged that you passed two no-admittance signs. You arrived at a door marked 'Authorized Personnel Only.' You broke the lock of that door.
piratesofersatz_01_leinster_64kb_f000081|Inside, you smashed the power receptor taking broadcast power from the air. This power receptor converts broadcast power for industrial units by which two hundred thousand men are employed.|Inside, you smashed the power receptor taking broadcast power from the air. This power receptor converts broadcast power for industrial units by which two hundred thousand men are employed.
piratesofersatz_01_leinster_64kb_f000082|You smashed the receptor, imperiling their employment. The justice paused. Do you wish to challenge any of these charges as contrary to fact?|You smashed the receptor, imperiling their employment. The justice paused. Do you wish to challenge any of these charges as contrary to fact?
piratesofersatz_01_leinster_64kb_f000083|The Citizen's Representative said hurriedly:|The Citizen's Representative said hurriedly:
piratesofersatz_01_leinster_64kb_f000084|You have the right to deny any of them, of course.|You have the right to deny any of them, of course.
piratesofersatz_01_leinster_64kb_f000085|Why should I? asked Hoddan. I did them! But what's this about me killing somebody? Why'd they tear my place apart looking for something? Who'd I kill, anyhow?|Why should I? asked Hoddan. I did them! But what's this about me killing somebody? Why'd they tear my place apart looking for something? Who'd I kill, anyhow?
piratesofersatz_01_leinster_64kb_f000086|Don't bring that up! pleaded the Citizen's Representative. Please don't bring that up! You will be much, much better off if that is not mentioned!|Don't bring that up! pleaded the Citizen's Representative. Please don't bring that up! You will be much, much better off if that is not mentioned!
piratesofersatz_01_leinster_64kb_f000087|But I didn't kill anybody! insisted Hoddan.|But I didn't kill anybody! insisted Hoddan.
piratesofersatz_01_leinster_64kb_f000088|Nobody's said a word about it, said the Citizen's Representative, jittering. Let's not have it in the record! The record has to be published.|Nobody's said a word about it, said the Citizen's Representative, jittering. Let's not have it in the record! The record has to be published.
piratesofersatz_01_leinster_64kb_f000089|He turned to the justice. Sir, the facts are conceded as stated.|He turned to the justice. Sir, the facts are conceded as stated.
piratesofersatz_01_leinster_64kb_f000090|Then, said the justice to Hoddan, do you choose to answer these charges at this time?|Then, said the justice to Hoddan, do you choose to answer these charges at this time?
piratesofersatz_01_leinster_64kb_f000091|Why not? asked Hoddan. Of course!|Why not? asked Hoddan. Of course!
piratesofersatz_01_leinster_64kb_f000092|Proceed, said the justice.|Proceed, said the justice.
piratesofersatz_01_leinster_64kb_f000093|Hoddan drew a deep breath. He didn't understand why a man's death, charged to him, was not mentioned. He didn't like the scared way everybody looked at him.|Hoddan drew a deep breath. He didn't understand why a man's death, charged to him, was not mentioned. He didn't like the scared way everybody looked at him.
piratesofersatz_01_leinster_64kb_f000094|ButAbout the burglary business, he said confidently. What did I do in the power station before I smashed the receptor?|ButAbout the burglary business, he said confidently. What did I do in the power station before I smashed the receptor?
piratesofersatz_01_leinster_64kb_f000095|The justice looked at Nedda's father's attorney.|The justice looked at Nedda's father's attorney.
piratesofersatz_01_leinster_64kb_f000096|Why, said that gentleman amiably, speaking for the Power Board as complainant, before you smashed the standard receptor you connected a device of your own design across the power-leads.|Why, said that gentleman amiably, speaking for the Power Board as complainant, before you smashed the standard receptor you connected a device of your own design across the power-leads.
piratesofersatz_01_leinster_64kb_f000097|It was a receptor unit of an apparently original pattern. It appears to have been a very interesting device.|It was a receptor unit of an apparently original pattern. It appears to have been a very interesting device.
piratesofersatz_01_leinster_64kb_f000098|I'd offered it to the Power Board, said Hoddan, with satisfaction, and I was thrown out. You had me thrown out! What did it do?|I'd offered it to the Power Board, said Hoddan, with satisfaction, and I was thrown out. You had me thrown out! What did it do?
piratesofersatz_01_leinster_64kb_f000099|It substituted for the receptor you smashed, said the attorney. It continued to supply some two hundred million kilowatts for the Mid-Continent industrial area.|It substituted for the receptor you smashed, said the attorney. It continued to supply some two hundred million kilowatts for the Mid-Continent industrial area.
piratesofersatz_01_leinster_64kb_f000100|In fact, your crime was only discovered because the original receptor — naturally — had to be set to draw peak power at all times, with the unused power wasted by burning carbon.|In fact, your crime was only discovered because the original receptor - naturally - had to be set to draw peak power at all times, with the unused power wasted by burning carbon.
piratesofersatz_01_leinster_64kb_f000101|Your device adjusted to the load and did not burn carbon. So when the attendants went to replace the supposedly burned carbon and found it unused,|Your device adjusted to the load and did not burn carbon. So when the attendants went to replace the supposedly burned carbon and found it unused,
piratesofersatz_01_leinster_64kb_f000102|they discovered what you had done.|they discovered what you had done.
piratesofersatz_01_leinster_64kb_f000103|It saved carbon, then, said Hoddan triumphantly. That means it saved money. I saved the Power Board plenty while that was connected.|It saved carbon, then, said Hoddan triumphantly. That means it saved money. I saved the Power Board plenty while that was connected.
piratesofersatz_01_leinster_64kb_f000104|They wouldn't believe I could. Now they know. I did!|They wouldn't believe I could. Now they know. I did!
piratesofersatz_01_leinster_64kb_f000105|The justice said:|The justice said:
piratesofersatz_01_leinster_64kb_f000106|Irrelevant. You have heard the charges. In legal terms, you are charged with burglary, trespass, breaking and entering, unlawful entry, malicious mischief,|Irrelevant. You have heard the charges. In legal terms, you are charged with burglary, trespass, breaking and entering, unlawful entry, malicious mischief,
piratesofersatz_01_leinster_64kb_f000107|breach of the peace, sabotage, and endangering the employment of citizens.|breach of the peace, sabotage, and endangering the employment of citizens.
piratesofersatz_01_leinster_64kb_f000108|Discuss the charges, please!|Discuss the charges, please!
piratesofersatz_01_leinster_64kb_f000109|I'm telling you! protested Hoddan. I offered the thing to the Power Board. They said they were satisfied with what they had and wouldn't listen.|I'm telling you! protested Hoddan. I offered the thing to the Power Board. They said they were satisfied with what they had and wouldn't listen.
piratesofersatz_01_leinster_64kb_f000110|So I proved what they wouldn't listen to! That receptor saved them ten thousand credits worth of carbon a week! It'll save half a million credits a year in every power station that uses it!|So I proved what they wouldn't listen to! That receptor saved them ten thousand credits worth of carbon a week! It'll save half a million credits a year in every power station that uses it!
piratesofersatz_01_leinster_64kb_f000111|If I know the Power Board, they're going right on using it while they arrest me for putting it to work!|If I know the Power Board, they're going right on using it while they arrest me for putting it to work!
piratesofersatz_01_leinster_64kb_f000112|The courtroom, in its entirety, visibly shivered.|The courtroom, in its entirety, visibly shivered.
piratesofersatz_01_leinster_64kb_f000113|Aren't they? demanded Hoddan belligerently.|Aren't they? demanded Hoddan belligerently.
piratesofersatz_01_leinster_64kb_f000114|They are not, said the justice, tight-lipped. It has been smashed in its turn. It has even been melted down.|They are not, said the justice, tight-lipped. It has been smashed in its turn. It has even been melted down.
piratesofersatz_01_leinster_64kb_f000115|Then look at my patents! insisted Hoddan. It's stupidThe patent records, said the justice with unnecessary vehemence, have been destroyed.|Then look at my patents! insisted Hoddan. It's stupidThe patent records, said the justice with unnecessary vehemence, have been destroyed.
piratesofersatz_01_leinster_64kb_f000116|Your possessions have been searched for copies. Nobody will ever look at your drawings again — not if they are wise!|Your possessions have been searched for copies. Nobody will ever look at your drawings again - not if they are wise!
piratesofersatz_01_leinster_64kb_f000117|Wha-a-at? demanded Hoddan incredulously. Wha-a-at?|Wha-a-at? demanded Hoddan incredulously. Wha-a-at?
piratesofersatz_01_leinster_64kb_f000118|I will amend the record of this hearing before it is published, said the justice shakily. I should not have made that comment.|I will amend the record of this hearing before it is published, said the justice shakily. I should not have made that comment.
piratesofersatz_01_leinster_64kb_f000119|I ask permission of the Citizen's Representative to amend.|I ask permission of the Citizen's Representative to amend.
piratesofersatz_01_leinster_64kb_f000120|Granted, said the Representative before he had finished.|Granted, said the Representative before he had finished.
piratesofersatz_01_leinster_64kb_f000121|The justice said quickly:|The justice said quickly:
piratesofersatz_01_leinster_64kb_f000122|The-charges-have-been-admitted-by-the-defendant. Since-the-complainant-does-not-wish-punitive-action-taken-against-himHe'd be silly if he did, grunted Hoddan.|The-charges-have-been-admitted-by-the-defendant. Since-the-complainant-does-not-wish-punitive-action-taken-against-himHe'd be silly if he did, grunted Hoddan.
piratesofersatz_01_leinster_64kb_f000123|And-merely-wishes-security-against-repetition-of-the-offense, I-rule-that-the-defendant-may-be-released-upon-posting-suitable-bond-for -good-behavior-in-the-future.|And-merely-wishes-security-against-repetition-of-the-offense, I-rule-that-the-defendant-may-be-released-upon-posting-suitable-bond-for -good-behavior-in-the-future.
piratesofersatz_01_leinster_64kb_f000124|That-is, he-will-be-required-to-post-bond -which-will-be-forfeited-if-he-ever-again-enters-a-power-station -enclosure-passes-no-trespassing-signs-ignores-no-admittance-signs -and/or-smashes-apparatus-belonging-to-the-complainant.|That-is, he-will-be-required-to-post-bond -which-will-be-forfeited-if-he-ever-again-enters-a-power-station -enclosure-passes-no-trespassing-signs-ignores-no-admittance-signs -andor-smashes-apparatus-belonging-to-the-complainant.
piratesofersatz_01_leinster_64kb_f000125|All right, said Hoddan indignantly. I'll raise it somehow. If they're too stupid to save money — How much bond?|All right, said Hoddan indignantly. I'll raise it somehow. If they're too stupid to save money - How much bond?
piratesofersatz_01_leinster_64kb_f000126|The-court-will-take-it-under-advisement-and-will-notify-the-defendant -within-the-customary-two-hours, said the justice at top speed.|The-court-will-take-it-under-advisement-and-will-notify-the-defendant -within-the-customary-two-hours, said the justice at top speed.
piratesofersatz_01_leinster_64kb_f000127|He swallowed. The-defendant-will-be-kept-in-close-confinement-until-the -bond-is-posted. The-hearing-is-ended.|He swallowed. The-defendant-will-be-kept-in-close-confinement-until-the -bond-is-posted. The-hearing-is-ended.
piratesofersatz_01_leinster_64kb_f000128|He did not look at Hoddan. Courtroom guards put stun-pistols against Hoddan's body and ushered him out.|He did not look at Hoddan. Courtroom guards put stun-pistols against Hoddan's body and ushered him out.
piratesofersatz_01_leinster_64kb_f000129|Presently his friend Derec came to see him in the tool-steel cell in which he had been placed. Derec looked white and stricken.|Presently his friend Derec came to see him in the tool-steel cell in which he had been placed. Derec looked white and stricken.
piratesofersatz_01_leinster_64kb_f000130|I'm in trouble because I'm your friend, Bron, he said miserably, but I asked permission to explain things to you. After all, I caused your arrest.|I'm in trouble because I'm your friend, Bron, he said miserably, but I asked permission to explain things to you. After all, I caused your arrest.
piratesofersatz_01_leinster_64kb_f000131|I urged you not to connect up your receptor without permission!|I urged you not to connect up your receptor without permission!
piratesofersatz_01_leinster_64kb_f000132|I know, growled Hoddan, but there are some people so stupid you have to show them everything. I didn't realize that there are people so stupid you can't show them anything.|I know, growled Hoddan, but there are some people so stupid you have to show them everything. I didn't realize that there are people so stupid you can't show them anything.
piratesofersatz_01_leinster_64kb_f000133|You. showed something you didn't intend, said Derec miserably. Bron, I. I have to tell you. When they went to charge the carbon bins at the power station, they.|You. showed something you didn't intend, said Derec miserably. Bron, I. I have to tell you. When they went to charge the carbon bins at the power station, they.
piratesofersatz_01_leinster_64kb_f000134|they found a dead man, Bron!|they found a dead man, Bron!
piratesofersatz_01_leinster_64kb_f000135|Hoddan sat up.|Hoddan sat up.
piratesofersatz_01_leinster_64kb_f000136|What's that?|What's that?
piratesofersatz_01_leinster_64kb_f000137|Your machine — killed him. He was outside the building at the foot of a tree. Your receptor killed him through a stone wall! It broke his bones and killed him.|Your machine - killed him. He was outside the building at the foot of a tree. Your receptor killed him through a stone wall! It broke his bones and killed him.
