dorothy_and_wizard_oz_01_f000001|To My Readers.|To My Readers.
dorothy_and_wizard_oz_01_f000062|I named my kitten that because I found it, she explained. Uncle Henry says 'Eureka' means 'I have found it.' All right; hop in.|I named my kitten that because I found it, she explained. Uncle Henry says 'Eureka' means 'I have found it.' All right; hop in.
dorothy_and_wizard_oz_01_f000063|She climbed into the buggy and he followed her. Then the boy picked up the reins, shook them, and said Gid-dap!|She climbed into the buggy and he followed her. Then the boy picked up the reins, shook them, and said Gid-dap!
dorothy_and_wizard_oz_01_f000064|The horse did not stir. Dorothy thought he just wiggled one of his drooping ears, but that was all.|The horse did not stir. Dorothy thought he just wiggled one of his drooping ears, but that was all.
dorothy_and_wizard_oz_01_f000065|Gid-dap! called the boy, again.|Gid-dap! called the boy, again.
dorothy_and_wizard_oz_01_f000066|The horse stood still.|The horse stood still.
dorothy_and_wizard_oz_01_f000067|Perhaps, said Dorothy, if you untied him, he would go.|Perhaps, said Dorothy, if you untied him, he would go.
dorothy_and_wizard_oz_01_f000068|The boy laughed cheerfully and jumped out.|The boy laughed cheerfully and jumped out.
dorothy_and_wizard_oz_01_f000069|Guess I'm half asleep yet, he said, untying the horse. But Jim knows his business all right don't you, Jim? patting the long nose of the animal.|Guess I'm half asleep yet, he said, untying the horse. But Jim knows his business all right don't you, Jim? patting the long nose of the animal.
dorothy_and_wizard_oz_01_f000070|Then he got into the buggy again and took the reins, and the horse at once backed away from the tree, turned slowly around, and began to trot down the sandy road which was just visible in the dim light.|Then he got into the buggy again and took the reins, and the horse at once backed away from the tree, turned slowly around, and began to trot down the sandy road which was just visible in the dim light.
dorothy_and_wizard_oz_01_f000071|Thought that train would never come, observed the boy. I've waited at that station for five hours.|Thought that train would never come, observed the boy. I've waited at that station for five hours.
dorothy_and_wizard_oz_01_f000072|We had a lot of earthquakes, said Dorothy. Didn't you feel the ground shake?|We had a lot of earthquakes, said Dorothy. Didn't you feel the ground shake?
dorothy_and_wizard_oz_01_f000073|Yes; but we're used to such things in California, he replied. They don't scare us much.|Yes; but we're used to such things in California, he replied. They don't scare us much.
dorothy_and_wizard_oz_01_f000074|The conductor said it was the worst quake he ever knew.|The conductor said it was the worst quake he ever knew.
dorothy_and_wizard_oz_01_f000075|Did he? Then it must have happened while I was asleep, he said thoughtfully.|Did he? Then it must have happened while I was asleep, he said thoughtfully.
dorothy_and_wizard_oz_01_f000076|How is Uncle Henry? she enquired, after a pause during which the horse continued to trot with long, regular strides.|How is Uncle Henry? she enquired, after a pause during which the horse continued to trot with long, regular strides.
dorothy_and_wizard_oz_01_f000077|He's pretty well. He and Uncle Hugson have been having a fine visit.|He's pretty well. He and Uncle Hugson have been having a fine visit.
dorothy_and_wizard_oz_01_f000078|Is Mr. Hugson your uncle? she asked.|Is Mr. Hugson your uncle? she asked.
dorothy_and_wizard_oz_01_f000079|Yes. Uncle Bill Hugson married your Uncle Henry's wife's sister; so we must be second cousins, said the boy, in an amused tone.|Yes. Uncle Bill Hugson married your Uncle Henry's wife's sister; so we must be second cousins, said the boy, in an amused tone.
dorothy_and_wizard_oz_01_f000080|I work for Uncle Bill on his ranch, and he pays me six dollars a month and my board.|I work for Uncle Bill on his ranch, and he pays me six dollars a month and my board.
dorothy_and_wizard_oz_01_f000081|Isn't that a great deal? she asked, doubtfully.|Isn't that a great deal? she asked, doubtfully.
dorothy_and_wizard_oz_01_f000082|Why, it's a great deal for Uncle Hugson, but not for me. I'm a splendid worker. I work as well as I sleep, he added, with a laugh.|Why, it's a great deal for Uncle Hugson, but not for me. I'm a splendid worker. I work as well as I sleep, he added, with a laugh.
dorothy_and_wizard_oz_01_f000083|What is your name? said Dorothy, thinking she liked the boy's manner and the cheery tone of his voice.|What is your name? said Dorothy, thinking she liked the boy's manner and the cheery tone of his voice.
dorothy_and_wizard_oz_01_f000084|Not a very pretty one, he answered, as if a little ashamed. My whole name is Zebediah; but folks just call me 'Zeb.' You've been to Australia, haven't you?|Not a very pretty one, he answered, as if a little ashamed. My whole name is Zebediah; but folks just call me 'Zeb.' You've been to Australia, haven't you?
dorothy_and_wizard_oz_01_f000085|Yes; with Uncle Henry, she answered. We got to San Francisco a week ago, and Uncle Henry went right on to Hugson's Ranch for a visit while I stayed a few days in the city with some friends we had met.|Yes; with Uncle Henry, she answered. We got to San Francisco a week ago, and Uncle Henry went right on to Hugson's Ranch for a visit while I stayed a few days in the city with some friends we had met.
dorothy_and_wizard_oz_01_f000086|How long will you be with us? he asked.|How long will you be with us? he asked.
dorothy_and_wizard_oz_01_f000087|Only a day. Tomorrow Uncle Henry and I must start back for Kansas.|Only a day. Tomorrow Uncle Henry and I must start back for Kansas.
dorothy_and_wizard_oz_01_f000088|We've been away for a long time, you know, and so we're anxious to get home again.|We've been away for a long time, you know, and so we're anxious to get home again.
dorothy_and_wizard_oz_01_f000089|The boy flicked the big, boney horse with his whip and looked thoughtful.|The boy flicked the big, boney horse with his whip and looked thoughtful.
dorothy_and_wizard_oz_01_f000090|Then he started to say something to his little companion, but before he could speak the buggy began to sway dangerously from side to side and the earth seemed to rise up before them.|Then he started to say something to his little companion, but before he could speak the buggy began to sway dangerously from side to side and the earth seemed to rise up before them.
dorothy_and_wizard_oz_01_f000091|Next minute there was a roar and a sharp crash, and at her side Dorothy saw the ground open in a wide crack and then come together again.|Next minute there was a roar and a sharp crash, and at her side Dorothy saw the ground open in a wide crack and then come together again.
dorothy_and_wizard_oz_01_f000092|Goodness! she cried, grasping the iron rail of the seat. What was that?|Goodness! she cried, grasping the iron rail of the seat. What was that?
dorothy_and_wizard_oz_01_f000093|That was an awful big quake, replied Zeb, with a white face. It almost got us that time, Dorothy.|That was an awful big quake, replied Zeb, with a white face. It almost got us that time, Dorothy.
dorothy_and_wizard_oz_01_f000094|The horse had stopped short, and stood firm as a rock. Zeb shook the reins and urged him to go, but Jim was stubborn. Then the boy cracked his whip and touched the animal's flanks with it,|The horse had stopped short, and stood firm as a rock. Zeb shook the reins and urged him to go, but Jim was stubborn. Then the boy cracked his whip and touched the animal's flanks with it,
dorothy_and_wizard_oz_01_f000095|and after a low moan of protest Jim stepped slowly along the road.|and after a low moan of protest Jim stepped slowly along the road.
dorothy_and_wizard_oz_01_f000096|Neither the boy nor the girl spoke again for some minutes. There was a breath of danger in the very air, and every few moments the earth would shake violently.|Neither the boy nor the girl spoke again for some minutes. There was a breath of danger in the very air, and every few moments the earth would shake violently.
dorothy_and_wizard_oz_01_f000097|Jim's ears were standing erect upon his head and every muscle of his big body was tense as he trotted toward home. He was not going very fast,|Jim's ears were standing erect upon his head and every muscle of his big body was tense as he trotted toward home. He was not going very fast,
dorothy_and_wizard_oz_01_f000098|but on his flanks specks of foam began to appear and at times he would tremble like a leaf.|but on his flanks specks of foam began to appear and at times he would tremble like a leaf.
dorothy_and_wizard_oz_01_f000099|The sky had grown darker again and the wind made queer sobbing sounds as it swept over the valley.|The sky had grown darker again and the wind made queer sobbing sounds as it swept over the valley.
dorothy_and_wizard_oz_01_f000100|Suddenly there was a rending, tearing sound, and the earth split into another great crack just beneath the spot where the horse was standing.|Suddenly there was a rending, tearing sound, and the earth split into another great crack just beneath the spot where the horse was standing.
dorothy_and_wizard_oz_01_f000101|With a wild neigh of terror the animal fell bodily into the pit, drawing the buggy and its occupants after him.|With a wild neigh of terror the animal fell bodily into the pit, drawing the buggy and its occupants after him.
dorothy_and_wizard_oz_01_f000102|Dorothy grabbed fast hold of the buggy top and the boy did the same.|Dorothy grabbed fast hold of the buggy top and the boy did the same.
dorothy_and_wizard_oz_01_f000103|The sudden rush into space confused them so that they could not think.|The sudden rush into space confused them so that they could not think.
dorothy_and_wizard_oz_01_f000104|Blackness engulfed them on every side, and in breathless silence they waited for the fall to end and crush them against jagged rocks or for the earth to close in on them again and bury them forever in its dreadful depths.|Blackness engulfed them on every side, and in breathless silence they waited for the fall to end and crush them against jagged rocks or for the earth to close in on them again and bury them forever in its dreadful depths.
dorothy_and_wizard_oz_01_f000105|The horrible sensation of falling, the darkness and the terrifying noises, proved more than Dorothy could endure and for a few moments the little girl lost consciousness.|The horrible sensation of falling, the darkness and the terrifying noises, proved more than Dorothy could endure and for a few moments the little girl lost consciousness.
dorothy_and_wizard_oz_01_f000106|Zeb, being a boy, did not faint, but he was badly frightened, and clung to the buggy seat with a tight grip, expecting every moment would be his last.|Zeb, being a boy, did not faint, but he was badly frightened, and clung to the buggy seat with a tight grip, expecting every moment would be his last.
dorothy_and_wizard_oz_01_f000107|End of chapter 1.|End of chapter one.
dorothy_and_wizard_oz_02_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
dorothy_and_wizard_oz_02_f000002|Dorothy and the Wizard in Oz L Frank Baum. Chapter 2. The Glass City.|Dorothy and the Wizard in Oz L Frank Baum. Chapter two. The Glass City.
dorothy_and_wizard_oz_02_f000003|When Dorothy recovered her senses they were still falling, but not so fast. The top of the buggy caught the air like a parachute or an umbrella filled with wind,|When Dorothy recovered her senses they were still falling, but not so fast. The top of the buggy caught the air like a parachute or an umbrella filled with wind,
dorothy_and_wizard_oz_02_f000004|and held them back so that they floated downward with a gentle motion that was not so very disagreeable to bear.|and held them back so that they floated downward with a gentle motion that was not so very disagreeable to bear.
dorothy_and_wizard_oz_02_f000005|The worst thing was their terror of reaching the bottom of this great crack in the earth, and the natural fear that sudden death was about to overtake them at any moment.|The worst thing was their terror of reaching the bottom of this great crack in the earth, and the natural fear that sudden death was about to overtake them at any moment.
dorothy_and_wizard_oz_02_f000006|Crash after crash echoed far above their heads, as the earth came together where it had split, and stones and chunks of clay rattled around them on every side.|Crash after crash echoed far above their heads, as the earth came together where it had split, and stones and chunks of clay rattled around them on every side.
dorothy_and_wizard_oz_02_f000007|These they could not see, but they could feel them pelting the buggy top, and Jim screamed almost like a human being when a stone overtook him and struck his boney body.|These they could not see, but they could feel them pelting the buggy top, and Jim screamed almost like a human being when a stone overtook him and struck his boney body.
dorothy_and_wizard_oz_02_f000008|They did not really hurt the poor horse, because everything was falling together; only the stones and rubbish fell faster than the horse and buggy,|They did not really hurt the poor horse, because everything was falling together; only the stones and rubbish fell faster than the horse and buggy,
dorothy_and_wizard_oz_02_f000009|which were held back by the pressure of the air, so that the terrified animal was actually more frightened than he was injured.|which were held back by the pressure of the air, so that the terrified animal was actually more frightened than he was injured.
dorothy_and_wizard_oz_02_f000010|How long this state of things continued Dorothy could not even guess, she was so greatly bewildered. But bye and bye, as she stared ahead into the black chasm with a beating heart,|How long this state of things continued Dorothy could not even guess, she was so greatly bewildered. But bye and bye, as she stared ahead into the black chasm with a beating heart,
dorothy_and_wizard_oz_02_f000011|she began to dimly see the form of the horse Jim his head up in the air, his ears erect and his long legs sprawling in every direction as he tumbled through space.|she began to dimly see the form of the horse Jim his head up in the air, his ears erect and his long legs sprawling in every direction as he tumbled through space.
dorothy_and_wizard_oz_02_f000012|Also, turning her head, she found that she could see the boy beside her, who had until now remained as still and silent as she herself.|Also, turning her head, she found that she could see the boy beside her, who had until now remained as still and silent as she herself.
dorothy_and_wizard_oz_02_f000013|Dorothy sighed and commenced to breathe easier. She began to realize that death was not in store for her, after all, but that she had merely started upon another adventure,|Dorothy sighed and commenced to breathe easier. She began to realize that death was not in store for her, after all, but that she had merely started upon another adventure,
dorothy_and_wizard_oz_02_f000014|which promised to be just as queer and unusual as were those she had before encountered.|which promised to be just as queer and unusual as were those she had before encountered.
dorothy_and_wizard_oz_02_f000015|With this thought in mind the girl took heart and leaned her head over the side of the buggy to see where the strange light was coming from.|With this thought in mind the girl took heart and leaned her head over the side of the buggy to see where the strange light was coming from.
dorothy_and_wizard_oz_02_f000016|Far below her she found six great glowing balls suspended in the air.|Far below her she found six great glowing balls suspended in the air.
dorothy_and_wizard_oz_02_f000017|The central and largest one was white, and reminded her of the sun.|The central and largest one was white, and reminded her of the sun.
dorothy_and_wizard_oz_02_f000018|Around it were arranged, like the five points of a star, the other five brilliant balls; one being rose colored, one violet, one yellow, one blue and one orange.|Around it were arranged, like the five points of a star, the other five brilliant balls; one being rose colored, one violet, one yellow, one blue and one orange.
dorothy_and_wizard_oz_02_f000019|This splendid group of colored suns sent rays darting in every direction, and as the horse and buggy with Dorothy and Zeb sank steadily downward and came nearer to the lights,|This splendid group of colored suns sent rays darting in every direction, and as the horse and buggy with Dorothy and Zeb sank steadily downward and came nearer to the lights,
dorothy_and_wizard_oz_02_f000020|the rays began to take on all the delicate tintings of a rainbow, growing more and more distinct every moment until all the space was brilliantly illuminated.|the rays began to take on all the delicate tintings of a rainbow, growing more and more distinct every moment until all the space was brilliantly illuminated.
dorothy_and_wizard_oz_02_f000021|Dorothy was too dazed to say much, but she watched one of Jim's big ears turn to violet and the other to rose,|Dorothy was too dazed to say much, but she watched one of Jim's big ears turn to violet and the other to rose,
dorothy_and_wizard_oz_02_f000022|and wondered that his tail should be yellow and his body striped with blue and orange like the stripes of a zebra.|and wondered that his tail should be yellow and his body striped with blue and orange like the stripes of a zebra.
dorothy_and_wizard_oz_02_f000023|Then she looked at Zeb, whose face was blue and whose hair was pink, and gave a little laugh that sounded a bit nervous.|Then she looked at Zeb, whose face was blue and whose hair was pink, and gave a little laugh that sounded a bit nervous.
dorothy_and_wizard_oz_02_f000024|Isn't it funny? she said.|Isn't it funny? she said.
dorothy_and_wizard_oz_02_f000025|The boy was startled and his eyes were big. Dorothy had a green streak through the center of her face where the blue and yellow lights came together,|The boy was startled and his eyes were big. Dorothy had a green streak through the center of her face where the blue and yellow lights came together,
dorothy_and_wizard_oz_02_f000026|and her appearance seemed to add to his fright.|and her appearance seemed to add to his fright.
dorothy_and_wizard_oz_02_f000027|I I don't s-s-see any-thing funny 'bout it! he stammered.|I I don't s-s-see any-thing funny 'bout it! he stammered.
dorothy_and_wizard_oz_02_f000028|Just then the buggy tipped slowly over upon its side, the body of the horse tipping also. But they continued to fall,|Just then the buggy tipped slowly over upon its side, the body of the horse tipping also. But they continued to fall,
dorothy_and_wizard_oz_02_f000029|all together, and the boy and girl had no difficulty in remaining upon the seat, just as they were before.|all together, and the boy and girl had no difficulty in remaining upon the seat, just as they were before.
dorothy_and_wizard_oz_02_f000030|Then they turned bottom side up, and continued to roll slowly over until they were right side up again. During this time Jim struggled frantically, all his legs kicking the air;|Then they turned bottom side up, and continued to roll slowly over until they were right side up again. During this time Jim struggled frantically, all his legs kicking the air;
dorothy_and_wizard_oz_02_f000031|but on finding himself in his former position the horse said, in a relieved tone of voice:|but on finding himself in his former position the horse said, in a relieved tone of voice:
dorothy_and_wizard_oz_02_f000032|Well, that's better!|Well, that's better!
dorothy_and_wizard_oz_02_f000033|Dorothy and Zeb looked at one another in wonder.|Dorothy and Zeb looked at one another in wonder.
dorothy_and_wizard_oz_02_f000034|Can your horse talk? she asked.|Can your horse talk? she asked.
dorothy_and_wizard_oz_02_f000035|Never knew him to, before, replied the boy.|Never knew him to, before, replied the boy.
dorothy_and_wizard_oz_02_f000036|Those were the first words I ever said, called out the horse, who had overheard them, and I can't explain why I happened to speak then.|Those were the first words I ever said, called out the horse, who had overheard them, and I can't explain why I happened to speak then.
dorothy_and_wizard_oz_02_f000037|This is a nice scrape you've got me into, isn't it?|This is a nice scrape you've got me into, isn't it?
dorothy_and_wizard_oz_02_f000038|As for that, we are in the same scrape ourselves, answered Dorothy, cheerfully. But never mind; something will happen pretty soon.|As for that, we are in the same scrape ourselves, answered Dorothy, cheerfully. But never mind; something will happen pretty soon.
dorothy_and_wizard_oz_02_f000039|Of course, growled the horse, and then we shall be sorry it happened.|Of course, growled the horse, and then we shall be sorry it happened.
dorothy_and_wizard_oz_02_f000040|Zeb gave a shiver. All this was so terrible and unreal that he could not understand it at all, and so had good reason to be afraid.|Zeb gave a shiver. All this was so terrible and unreal that he could not understand it at all, and so had good reason to be afraid.
dorothy_and_wizard_oz_02_f000041|Swiftly they drew near to the flaming colored suns, and passed close beside them. The light was then so bright that it dazzled their eyes, and they covered their faces with their hands to escape being blinded.|Swiftly they drew near to the flaming colored suns, and passed close beside them. The light was then so bright that it dazzled their eyes, and they covered their faces with their hands to escape being blinded.
dorothy_and_wizard_oz_02_f000042|There was no heat in the colored suns, however, and after they had passed below them the top of the buggy shut out many of the piercing rays so that the boy and girl could open their eyes again.|There was no heat in the colored suns, however, and after they had passed below them the top of the buggy shut out many of the piercing rays so that the boy and girl could open their eyes again.
dorothy_and_wizard_oz_02_f000043|We've got to come to the bottom some time, remarked Zeb, with a deep sigh. We can't keep falling forever, you know.|We've got to come to the bottom some time, remarked Zeb, with a deep sigh. We can't keep falling forever, you know.
