skyisland_01_baum_64kb_f000003|BY L FRANK BAUM.|BY L FRANK BAUM.
skyisland_01_baum_64kb_f000023|Because it's the biggest lot of water in all the world. How do you know? captain Bill told me, she said.|Because it's the biggest lot of water in all the world. How do you know? captain Bill told me, she said.
skyisland_01_baum_64kb_f000024|Who's captain Bill? An old sailorman who's a friend of mine. He lives at my house, too the white house you see over there on the bluff.|Who's captain Bill? An old sailorman who's a friend of mine. He lives at my house, too the white house you see over there on the bluff.
skyisland_01_baum_64kb_f000025|Oh; is that your home? Yes, said Trot proudly. Isn't it pretty? It's pretty small, seems to me, answered the boy.|Oh; is that your home? Yes, said Trot proudly. Isn't it pretty? It's pretty small, seems to me, answered the boy.
skyisland_01_baum_64kb_f000026|But it's big enough for mother and me, and for captain Bill, said Trot.|But it's big enough for mother and me, and for captain Bill, said Trot.
skyisland_01_baum_64kb_f000027|Haven't you any father? Yes, 'ndeed. captain Griffith is my father, but he's gone most of the time, sailin' on his ship. You mus' be a stranger in these parts,|Haven't you any father? Yes, 'ndeed. captain Griffith is my father, but he's gone most of the time, sailin' on his ship. You mus' be a stranger in these parts,
skyisland_01_baum_64kb_f000028|little boy, not to know 'bout captain Griffith, she added, looking at her new acquaintance intently.|little boy, not to know 'bout captain Griffith, she added, looking at her new acquaintance intently.
skyisland_01_baum_64kb_f000029|Trot wasn't very big herself, but the boy was not quite as big as Trot.|Trot wasn't very big herself, but the boy was not quite as big as Trot.
skyisland_01_baum_64kb_f000030|He was thin, with a rather pale complexion, and his blue eyes were round and earnest. He wore a blouse waist, a short jacket, and knickerbockers.|He was thin, with a rather pale complexion, and his blue eyes were round and earnest. He wore a blouse waist, a short jacket, and knickerbockers.
skyisland_01_baum_64kb_f000031|Under his arm he held an old umbrella that was as tall as he was. Its covering had once been of thick, brown cloth, but the color had faded to a dull drab except in the creases,|Under his arm he held an old umbrella that was as tall as he was. Its covering had once been of thick, brown cloth, but the color had faded to a dull drab except in the creases,
skyisland_01_baum_64kb_f000032|and Trot thought it looked very old-fashioned and common.|and Trot thought it looked very old-fashioned and common.
skyisland_01_baum_64kb_f000033|The handle, though, was really curious. It was of wood and carved to resemble an elephant's head. The long trunk of the elephant was curved to make a crook for the handle.|The handle, though, was really curious. It was of wood and carved to resemble an elephant's head. The long trunk of the elephant was curved to make a crook for the handle.
skyisland_01_baum_64kb_f000034|The eyes of the beast were small red stones, and it had two tiny tusks of ivory.|The eyes of the beast were small red stones, and it had two tiny tusks of ivory.
skyisland_01_baum_64kb_f000035|The boy's dress was rich and expensive, even to his fine silk stockings and tan shoes, but the umbrella looked old and disreputable.|The boy's dress was rich and expensive, even to his fine silk stockings and tan shoes, but the umbrella looked old and disreputable.
skyisland_01_baum_64kb_f000036|It isn't the rainy season now, remarked Tot with a smile.|It isn't the rainy season now, remarked Tot with a smile.
skyisland_01_baum_64kb_f000037|The boy glanced at his umbrella and hugged it tighter. No, he said, but umbrellas are good for other things 'sides rain. 'Fraid of gett'n sun-struck? asked Trot.|The boy glanced at his umbrella and hugged it tighter. No, he said, but umbrellas are good for other things 'sides rain. 'Fraid of gett'n sun-struck? asked Trot.
skyisland_01_baum_64kb_f000038|He shook his head, still gazing far out over the water. I don't b'lieve this is bigger than any other ocean, said he. I can't see any more of it than I can of the Atlantic.|He shook his head, still gazing far out over the water. I don't b'lieve this is bigger than any other ocean, said he. I can't see any more of it than I can of the Atlantic.
skyisland_01_baum_64kb_f000039|You'd find out if you had to sail across it, she declared.|You'd find out if you had to sail across it, she declared.
skyisland_01_baum_64kb_f000040|When I was in Chicago I saw Lake Michigan, he went on dreamily, and it looked just as big as this water does. Looks don't count, with oceans, she asserted.|When I was in Chicago I saw Lake Michigan, he went on dreamily, and it looked just as big as this water does. Looks don't count, with oceans, she asserted.
skyisland_01_baum_64kb_f000041|Your eyes can only see jus' so far, whether you're lookin' at a pond or a great sea. Then it doesn't make any difference how big an ocean is, he replied.|Your eyes can only see jus' so far, whether you're lookin' at a pond or a great sea. Then it doesn't make any difference how big an ocean is, he replied.
skyisland_01_baum_64kb_f000042|What are those buildings over there? pointing to the right, along the shore of the bay.|What are those buildings over there? pointing to the right, along the shore of the bay.
skyisland_01_baum_64kb_f000043|That's the town, said Trot. Most of the people earn their living by fishing. The town is half a mile from here, and my house is almost a half-mile the other way,|That's the town, said Trot. Most of the people earn their living by fishing. The town is half a mile from here, and my house is almost a half-mile the other way,
skyisland_01_baum_64kb_f000044|so it's 'bout a mile from my house to the town.|so it's 'bout a mile from my house to the town.
skyisland_01_baum_64kb_f000045|The boy sat down beside her on the flat rock.|The boy sat down beside her on the flat rock.
skyisland_01_baum_64kb_f000046|Do you like girls? asked Trot, making room for him.|Do you like girls? asked Trot, making room for him.
skyisland_01_baum_64kb_f000047|Not very well, the boy replied. Some of 'em are pretty good fellows, but not many. The girls with brothers are bossy, and the girls without brothers haven't any 'gof to 'em.|Not very well, the boy replied. Some of 'em are pretty good fellows, but not many. The girls with brothers are bossy, and the girls without brothers haven't any 'gof to 'em.
skyisland_01_baum_64kb_f000048|But the world's full of both kinds, and so I try to take 'em as they come. They can't help being girls, of course. Do you like boys? When they don't put on airs or get roughhouse, replied Trot.|But the world's full of both kinds, and so I try to take 'em as they come. They can't help being girls, of course. Do you like boys? When they don't put on airs or get roughhouse, replied Trot.
skyisland_01_baum_64kb_f000049|My 'sperience with boys is that they don't know much, but think they do. That's true, he answered. I don't like boys much better than I do girls,|My 'sperience with boys is that they don't know much, but think they do. That's true, he answered. I don't like boys much better than I do girls,
skyisland_01_baum_64kb_f000050|but some are all right, and you seem to be one of 'em.|but some are all right, and you seem to be one of 'em.
skyisland_01_baum_64kb_f000051|Much obliged, laughed Trot. You aren't so bad, either, and if we don't both turn out worse than we seem, we ought to be friends.|Much obliged, laughed Trot. You aren't so bad, either, and if we don't both turn out worse than we seem, we ought to be friends.
skyisland_01_baum_64kb_f000052|He nodded rather absently and tossed a pebble into the water. Been to town? he asked.|He nodded rather absently and tossed a pebble into the water. Been to town? he asked.
skyisland_01_baum_64kb_f000053|Yes. Mother wanted some yarn from the store. She's knittin' captain Bill a stocking. Doesn't he wear but one? That's all.|Yes. Mother wanted some yarn from the store. She's knittin' captain Bill a stocking. Doesn't he wear but one? That's all.
skyisland_01_baum_64kb_f000054|captain Bill has one wooden leg, she explained. That's why he don't sailor any more. I'm glad of it, because captain Bill knows ev'rything.|captain Bill has one wooden leg, she explained. That's why he don't sailor any more. I'm glad of it, because captain Bill knows ev'rything.
skyisland_01_baum_64kb_f000055|I s'pose he knows more than anyone else in all the world. Whew! said the boy. That's taking a good deal for granted. A one-legged sailor can't know much.|I s'pose he knows more than anyone else in all the world. Whew! said the boy. That's taking a good deal for granted. A one-legged sailor can't know much.
skyisland_01_baum_64kb_f000056|Why not? asked Trot a little indignantly. Folks don't learn things with their legs, do they? No, but they can't get around without legs to find out things.|Why not? asked Trot a little indignantly. Folks don't learn things with their legs, do they? No, but they can't get around without legs to find out things.
skyisland_01_baum_64kb_f000057|captain Bill got 'round lively 'nough once, when he had two meat legs, she said. He's sailed to most ev'ry country on the earth, and found out all that the people in 'em knew and a lot besides.|captain Bill got 'round lively 'nough once, when he had two meat legs, she said. He's sailed to most ev'ry country on the earth, and found out all that the people in 'em knew and a lot besides.
skyisland_01_baum_64kb_f000058|He was shipwrecked on a desert island once, and another time a cannibal king tried to boil him for dinner, and one day a shark chased him seven leagues through the water,|He was shipwrecked on a desert island once, and another time a cannibal king tried to boil him for dinner, and one day a shark chased him seven leagues through the water,
skyisland_01_baum_64kb_f000059|and What's a league? asked the boy.|and What's a league? asked the boy.
skyisland_01_baum_64kb_f000060|It's a a distance, like a mile is. But a league isn't a mile, you know. What is it, then? You'll have to ask captain Bill.|It's a a distance, like a mile is. But a league isn't a mile, you know. What is it, then? You'll have to ask captain Bill.
skyisland_01_baum_64kb_f000061|He knows everything. Not everything, objected the boy. I know some things captain Bill don't know. If you do, you're pretty smart, said Trot.|He knows everything. Not everything, objected the boy. I know some things captain Bill don't know. If you do, you're pretty smart, said Trot.
skyisland_01_baum_64kb_f000062|No, I'm not smart. Some folks think I'm stupid. I guess I am. But I know a few things that were wonderful. captain Bill may know more'n I do a good deal more but I'm sure he can't know the same things.|No, I'm not smart. Some folks think I'm stupid. I guess I am. But I know a few things that were wonderful. captain Bill may know more'n I do a good deal more but I'm sure he can't know the same things.
skyisland_01_baum_64kb_f000063|Say, what's your name? I'm Mayre Griffith, but ever'body calls me 'Trot.' I's a nickname I got when I was a baby, because I trotted so fast when I walked, and it seems to stick.|Say, what's your name? I'm Mayre Griffith, but ever'body calls me 'Trot.' I's a nickname I got when I was a baby, because I trotted so fast when I walked, and it seems to stick.
skyisland_01_baum_64kb_f000064|What's YOUR name? Button-Bright. How did it happen? How did what happen? Such a funny name. The boy scowled a little. Just like your own nickname happened, he answered gloomily.|What's YOUR name? Button-Bright. How did it happen? How did what happen? Such a funny name. The boy scowled a little. Just like your own nickname happened, he answered gloomily.
skyisland_01_baum_64kb_f000065|My father once said I was bright as a button, an' it made ever'body laugh. So they always call me Button-Bright. What's your real name? she inquired.|My father once said I was bright as a button, an' it made ever'body laugh. So they always call me Button-Bright. What's your real name? she inquired.
skyisland_01_baum_64kb_f000066|Saladin Paracelsus de Lambertine Evagne von Smith. Guess I'll call you Button-Bright, said Trot, sighing. The only other thing would be 'Salad,' and I don't like salads.|Saladin Paracelsus de Lambertine Evagne von Smith. Guess I'll call you Button-Bright, said Trot, sighing. The only other thing would be 'Salad,' and I don't like salads.
skyisland_01_baum_64kb_f000067|Don't you find it hard work to 'member all of your name? I don't try to, he said. There's a lot more of it, but I've forgotten the rest.|Don't you find it hard work to 'member all of your name? I don't try to, he said. There's a lot more of it, but I've forgotten the rest.
skyisland_01_baum_64kb_f000068|Thank you, said Trot. Oh, here comes captain Bill! as she glanced over her shoulder.|Thank you, said Trot. Oh, here comes captain Bill! as she glanced over her shoulder.
skyisland_01_baum_64kb_f000069|Button-Bright turned also and looked solemnly at the old sailor who came stumping along the path toward them. captain Bill wasn't a very handsome man.|Button-Bright turned also and looked solemnly at the old sailor who came stumping along the path toward them. captain Bill wasn't a very handsome man.
skyisland_01_baum_64kb_f000070|He was old, not very tall, somewhat stout and chubby, with a round face, a bald head, and a scraggly fringe of reddish whisker underneath his chin.|He was old, not very tall, somewhat stout and chubby, with a round face, a bald head, and a scraggly fringe of reddish whisker underneath his chin.
skyisland_01_baum_64kb_f000071|But his blue eyes were frank and merry, and his smile like a ray of sunshine. He wore a sailor shirt with a broad collar, a short peajacket and wide-bottomed sailor trousers,|But his blue eyes were frank and merry, and his smile like a ray of sunshine. He wore a sailor shirt with a broad collar, a short peajacket and wide-bottomed sailor trousers,
skyisland_01_baum_64kb_f000072|one leg of which covered his wooden limb but did not hide it.|one leg of which covered his wooden limb but did not hide it.
skyisland_01_baum_64kb_f000073|As he came pegging along the path as he himself described his hobbling walk his hands were pushed into his coat pockets, a pipe was in his mouth,|As he came pegging along the path as he himself described his hobbling walk his hands were pushed into his coat pockets, a pipe was in his mouth,
skyisland_01_baum_64kb_f000074|and his black neckscarf was fluttering behind him in the breeze like a sable banner.|and his black neckscarf was fluttering behind him in the breeze like a sable banner.
skyisland_01_baum_64kb_f000075|Button-Bright liked the sailor's looks. There was something very winning something jolly and carefree and honest and sociable about the ancient seaman that made him everybody's friend,|Button-Bright liked the sailor's looks. There was something very winning something jolly and carefree and honest and sociable about the ancient seaman that made him everybody's friend,
skyisland_01_baum_64kb_f000076|so the strange boy was glad to meet him.|so the strange boy was glad to meet him.
skyisland_01_baum_64kb_f000077|Well, well, Trot, he said, coming up, is this the way you hurry to town? No, for I'm on my way back, said she. I did hurry when I was going, captain Bill,|Well, well, Trot, he said, coming up, is this the way you hurry to town? No, for I'm on my way back, said she. I did hurry when I was going, captain Bill,
skyisland_01_baum_64kb_f000078|but on my way home I sat down here to rest and watch the gulls the gulls seem awful busy today, captain Bill and then I found this boy.|but on my way home I sat down here to rest and watch the gulls the gulls seem awful busy today, captain Bill and then I found this boy.
skyisland_01_baum_64kb_f000079|captain Bill looked at the boy curiously. Don't think as ever I sawr him at the village, he remarked. Guess as you're a stranger, my lad. Button-Bright nodded.|captain Bill looked at the boy curiously. Don't think as ever I sawr him at the village, he remarked. Guess as you're a stranger, my lad. Button-Bright nodded.
skyisland_01_baum_64kb_f000080|Hain't walked the nine mile from the railroad station, have ye? asked captain Bill.|Hain't walked the nine mile from the railroad station, have ye? asked captain Bill.
skyisland_01_baum_64kb_f000081|No, said Button-Bright.|No, said Button-Bright.
skyisland_01_baum_64kb_f000082|The sailor glanced around him. Don't see no waggin er no autymob'l, he added.|The sailor glanced around him. Don't see no waggin er no autymob'l, he added.
skyisland_01_baum_64kb_f000083|No, said Button-Bright.|No, said Button-Bright.
skyisland_01_baum_64kb_f000084|Catch a ride wi' some one? Button-Bright shook his head.|Catch a ride wi' some one? Button-Bright shook his head.
skyisland_01_baum_64kb_f000085|A boat can't land here; the rocks is too thick and too sharp, continued captain Bill, peering down toward the foot of the bluff on which they sat and against which the waves broke in foam.|A boat can't land here; the rocks is too thick and too sharp, continued captain Bill, peering down toward the foot of the bluff on which they sat and against which the waves broke in foam.
skyisland_01_baum_64kb_f000086|No, said Button-Bright, I didn't come by water. Trot laughed. He must 'a' dropped from the sky, captain Bill! she exclaimed.|No, said Button-Bright, I didn't come by water. Trot laughed. He must 'a' dropped from the sky, captain Bill! she exclaimed.
skyisland_01_baum_64kb_f000087|Button-Bright nodded very seriously. That's it, he said.|Button-Bright nodded very seriously. That's it, he said.
skyisland_01_baum_64kb_f000088|Oh, a airship, eh? cried captain Bill in surprise. I've hearn tell o' them sky keeridges; someth'n' like flyin' autymob'ls, ain't they? I don't know, said Button-Bright.|Oh, a airship, eh? cried captain Bill in surprise. I've hearn tell o' them sky keeridges; someth'n' like flyin' autymob'ls, ain't they? I don't know, said Button-Bright.
skyisland_01_baum_64kb_f000089|I've never seen one. Both Trot and captain Bill now looked at the boy in astonishment. Now then, lemme think a minute, said the sailor reflectively.|I've never seen one. Both Trot and captain Bill now looked at the boy in astonishment. Now then, lemme think a minute, said the sailor reflectively.
skyisland_01_baum_64kb_f000090|Here's a riddle for us to guess, Trot. He dropped from the sky, he says, and yet he didn't come in a airship! 'Riddlecum, riddlecum ree; What can the answer be?|Here's a riddle for us to guess, Trot. He dropped from the sky, he says, and yet he didn't come in a airship! 'Riddlecum, riddlecum ree; What can the answer be?
skyisland_01_baum_64kb_f000091|' Trot looked the boy over carefully.|' Trot looked the boy over carefully.
skyisland_01_baum_64kb_f000092|She didn't see any wings on him.|She didn't see any wings on him.
skyisland_01_baum_64kb_f000093|The only queer thing about him was his big umbrella. Oh! she said suddenly, clapping her hands together. I know now. Do you? asked captain Bill doubtfully.|The only queer thing about him was his big umbrella. Oh! she said suddenly, clapping her hands together. I know now. Do you? asked captain Bill doubtfully.
skyisland_01_baum_64kb_f000094|Then you're some smarter ner I am, mate. He sailed down with the umbrel! she cried. He used his umbrel as a para para Shoot, said captain Bill.|Then you're some smarter ner I am, mate. He sailed down with the umbrel! she cried. He used his umbrel as a para para Shoot, said captain Bill.
skyisland_01_baum_64kb_f000095|They're called parashoots, mate; but why, I can't say. Did you drop down in that way, my lad? he asked the boy.|They're called parashoots, mate; but why, I can't say. Did you drop down in that way, my lad? he asked the boy.
skyisland_01_baum_64kb_f000096|Yes, said Button-Bright. That was the way. But how did you get up there? asked Trot. You had to get up in the air before you could drop down, and oh, captain Bill!|Yes, said Button-Bright. That was the way. But how did you get up there? asked Trot. You had to get up in the air before you could drop down, and oh, captain Bill!
skyisland_01_baum_64kb_f000097|He says he's from Phillydelfy, which is a big city way at the other end of America.|He says he's from Phillydelfy, which is a big city way at the other end of America.
skyisland_01_baum_64kb_f000098|Are you? asked the sailor, surprised.|Are you? asked the sailor, surprised.
skyisland_01_baum_64kb_f000099|Button-Bright nodded again. I ought to tell you my story, he said, and then you'd understand. But I'm afraid you won't believe me,|Button-Bright nodded again. I ought to tell you my story, he said, and then you'd understand. But I'm afraid you won't believe me,
skyisland_01_baum_64kb_f000100|and he suddenly broke off and looked toward the white house in the distance Didn't you say you lived over there? he inquired.|and he suddenly broke off and looked toward the white house in the distance Didn't you say you lived over there? he inquired.
skyisland_01_baum_64kb_f000101|Yes, said Trot. Won't you come home with us? I'd like to, replied Button-Bright.|Yes, said Trot. Won't you come home with us? I'd like to, replied Button-Bright.
skyisland_01_baum_64kb_f000102|All right, let's go then, said the girl, jumping up.|All right, let's go then, said the girl, jumping up.
skyisland_01_baum_64kb_f000103|The three walked silently along the path. The old sailorman had refilled his pipe and lighted it again, and he smoked thoughtfully as he pegged along beside the children.|The three walked silently along the path. The old sailorman had refilled his pipe and lighted it again, and he smoked thoughtfully as he pegged along beside the children.
skyisland_01_baum_64kb_f000104|Know anyone around here? he asked Button-Bright.|Know anyone around here? he asked Button-Bright.
skyisland_01_baum_64kb_f000105|No one but you two, said the boy, following after Trot, with his umbrella tucked carefully underneath his arm.|No one but you two, said the boy, following after Trot, with his umbrella tucked carefully underneath his arm.
skyisland_01_baum_64kb_f000106|And you don't know us very well, remarked captain Bill. Seems to me you're pretty young to be traveling so far from home and among strangers.|And you don't know us very well, remarked captain Bill. Seems to me you're pretty young to be traveling so far from home and among strangers.
skyisland_01_baum_64kb_f000107|But I won't say anything more till we've heard your story.|But I won't say anything more till we've heard your story.
skyisland_01_baum_64kb_f000108|Then, if you need my advice, or Trot's advice she's a wise little girl, for her size, Trot is we'll freely give it and be glad to help you.|Then, if you need my advice, or Trot's advice she's a wise little girl, for her size, Trot is we'll freely give it and be glad to help you.
skyisland_01_baum_64kb_f000109|Thank you, replied Button-Bright. I need a lot of things, I'm sure, and p'raps advice is one of 'em. End of chapter 1.|Thank you, replied Button-Bright. I need a lot of things, I'm sure, and p'raps advice is one of 'em. End of chapter one.
skyisland_02_baum_64kb_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
skyisland_02_baum_64kb_f000002|Sky island by L Frank Baum. Chapter 2 THE MAGIC UMBRELLA.|Sky island by L Frank Baum. Chapter two THE MAGIC UMBRELLA.
skyisland_02_baum_64kb_f000003|When they reached the neat frame cottage which stood on a high bluff a little back from the sea and was covered with pretty green vines, a woman came to the door to meet them.|When they reached the neat frame cottage which stood on a high bluff a little back from the sea and was covered with pretty green vines, a woman came to the door to meet them.
skyisland_02_baum_64kb_f000004|She seemed motherly and good, and when she saw Button-Bright, she exclaimed, Goodness me! Who's this you've got, Trot? It's a boy I've just found, explained the girl.|She seemed motherly and good, and when she saw Button-Bright, she exclaimed, Goodness me! Who's this you've got, Trot? It's a boy I've just found, explained the girl.
skyisland_02_baum_64kb_f000005|He lives way off in Phillydelphy. Mercy sakes alive! cried Mrs. Griffith, looking into his upturned face. I don't believe he's had a bite to eat since he started.|He lives way off in Phillydelphy. Mercy sakes alive! cried Mrs. Griffith, looking into his upturned face. I don't believe he's had a bite to eat since he started.
skyisland_02_baum_64kb_f000006|Ain't you hungry, child? Yes, said Button-Bright.	 Run, Trot, and get two slices of bread-an'-butter, commanded Mrs.|Ain't you hungry, child? Yes, said Button-Bright. Run, Trot, and get two slices of bread-an'-butter, commanded Mrs.
skyisland_02_baum_64kb_f000007|Griffith. Cut 'em thick, dear, and use plenty of butter. Sugar on 'em? asked Trot, turning to obey.|Griffith. Cut 'em thick, dear, and use plenty of butter. Sugar on 'em? asked Trot, turning to obey.
skyisland_02_baum_64kb_f000008|No, said Button-Bright. Just bread-an'-butter's good enough when you're hungry, and it takes time to spread sugar on. We'll have supper in an hour,|No, said Button-Bright. Just bread-an'-butter's good enough when you're hungry, and it takes time to spread sugar on. We'll have supper in an hour,
skyisland_02_baum_64kb_f000009|observed Trot's mother briskly, but a hungry child can't wait a whole hour, I'm sure.|observed Trot's mother briskly, but a hungry child can't wait a whole hour, I'm sure.
skyisland_02_baum_64kb_f000010|What are you grinning at, captain Bill? How dare you laugh when I'm talking? Stop it this minute, you old pirate, or I'll know the reason why!|What are you grinning at, captain Bill? How dare you laugh when I'm talking? Stop it this minute, you old pirate, or I'll know the reason why!
skyisland_02_baum_64kb_f000011|I didn't, mum, said captain Bill meekly.|I didn't, mum, said captain Bill meekly.
skyisland_02_baum_64kb_f000012|I on'y Stop right there, sir! How dare you speak when I'm talking? She turned to Button-Bright, and her tone changed to one of much gentleness as she said,|I on'y Stop right there, sir! How dare you speak when I'm talking? She turned to Button-Bright, and her tone changed to one of much gentleness as she said,
skyisland_02_baum_64kb_f000013|Come in the house, my poor boy, and rest yourself.|Come in the house, my poor boy, and rest yourself.
skyisland_02_baum_64kb_f000014|You seem tired out. Here, give me that clumsy umbrella. No, please, said Button-Bright, holding the umbrella tighter.|You seem tired out. Here, give me that clumsy umbrella. No, please, said Button-Bright, holding the umbrella tighter.
skyisland_02_baum_64kb_f000015|Then put it in the rack behind the door, she urged.|Then put it in the rack behind the door, she urged.
skyisland_02_baum_64kb_f000016|The boy seemed a little frightened. I I'd rather keep it with me, if you please, he pleaded.|The boy seemed a little frightened. I I'd rather keep it with me, if you please, he pleaded.
skyisland_02_baum_64kb_f000017|Never mind, captain Bill ventured to say, it won't worry him so much to hold the umbrella, mum, as to let it go. Guess he's afraid he'll lose it,|Never mind, captain Bill ventured to say, it won't worry him so much to hold the umbrella, mum, as to let it go. Guess he's afraid he'll lose it,
skyisland_02_baum_64kb_f000018|but it ain't any great shakes, to my notion.|but it ain't any great shakes, to my notion.
skyisland_02_baum_64kb_f000019|Why, see here, Button-Bright, we've got half-a-dozen umbrellas in the closet that's better ner yours. Perhaps, said the boy.|Why, see here, Button-Bright, we've got half-a-dozen umbrellas in the closet that's better ner yours. Perhaps, said the boy.
skyisland_02_baum_64kb_f000020|Yours may look a heap better, sir, but I'll keep this one, if you please. Where did you get it? asked Trot, appearing just then with a plate of bread-and-butter.|Yours may look a heap better, sir, but I'll keep this one, if you please. Where did you get it? asked Trot, appearing just then with a plate of bread-and-butter.
skyisland_02_baum_64kb_f000021|It it belongs in our family, said Button-Bright, beginning to eat and speaking between bites. This umbrella has been in our family years, and years, and years.|It it belongs in our family, said Button-Bright, beginning to eat and speaking between bites. This umbrella has been in our family years, and years, and years.
skyisland_02_baum_64kb_f000022|But it was tucked away up in our attic an' no one ever used it because it wasn't pretty. Don't blame 'em much, remarked captain Bill, gazing at it curiously.|But it was tucked away up in our attic an' no one ever used it because it wasn't pretty. Don't blame 'em much, remarked captain Bill, gazing at it curiously.
skyisland_02_baum_64kb_f000023|It's a pretty old-lookin' bumbershoot. They were all seated in the vine-shaded porch of the cottage all but Mrs. Griffith, who had gone into the kitchen to look after the supper and Trot was on one side of the boy,|It's a pretty old-lookin' bumbershoot. They were all seated in the vine-shaded porch of the cottage all but Mrs. Griffith, who had gone into the kitchen to look after the supper and Trot was on one side of the boy,
skyisland_02_baum_64kb_f000024|holding the plate for him, while captain Bill sat on the other side.|holding the plate for him, while captain Bill sat on the other side.
skyisland_02_baum_64kb_f000025|It is old, said Button-Bright. One of my great-great-grandfathers was a Knight an Arabian Knight and it was he who first found this umbrella.|It is old, said Button-Bright. One of my great-great-grandfathers was a Knight an Arabian Knight and it was he who first found this umbrella.
skyisland_02_baum_64kb_f000026|An Arabian Night! exclaimed Trot. Why, that was a magic night, wasn't it? There's different sorts of nights, mate, said the sailor, and the knight Button-Bright means ain't the same night you mean.|An Arabian Night! exclaimed Trot. Why, that was a magic night, wasn't it? There's different sorts of nights, mate, said the sailor, and the knight Button-Bright means ain't the same night you mean.
skyisland_02_baum_64kb_f000027|Soldiers used to be called knights, but that were in the dark ages, I guess, an' likely enough Butt'n-Bright's great-gran'ther were that sort of a knight.|Soldiers used to be called knights, but that were in the dark ages, I guess, an' likely enough Butt'n-Bright's great-gran'ther were that sort of a knight.
