hunters_space_01_f000001|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.
hunters_space_01_f000020|We are Ato and Wolden. By adding ourselves to another dimension we are hardly recognizable to you.|We are Ato and Wolden. By adding ourselves to another dimension we are hardly recognizable to you.
hunters_space_01_f000021|Actually, we are at our starting point billions of miles away! We are traveling through space toward you at a speed which would make the speed of light look like a glow-worm crawling across the dark ground;|Actually, we are at our starting point billions of miles away! We are traveling through space toward you at a speed which would make the speed of light look like a glow-worm crawling across the dark ground;
hunters_space_01_f000022|and at the same time, we are there in your room. Do you understand?|and at the same time, we are there in your room. Do you understand?
hunters_space_01_f000023|I didn't, but I have learned that a man can live quite comfortably by merely keeping his mouth shut. So I kept still.|I didn't, but I have learned that a man can live quite comfortably by merely keeping his mouth shut. So I kept still.
hunters_space_01_f000024|My little daughter had been playing in the room before she had unwillingly gone to bed. She had left a red rubber ball upon my desk.|My little daughter had been playing in the room before she had unwillingly gone to bed. She had left a red rubber ball upon my desk.
hunters_space_01_f000025|Look at the ball, the voices whispered. We will give you an idea of the time-space in which we live.|Look at the ball, the voices whispered. We will give you an idea of the time-space in which we live.
hunters_space_01_f000026|I looked. Suddenly the little ball twitched, vanished and reappeared. I gazed in wonder. It had been red. Now it was white.|I looked. Suddenly the little ball twitched, vanished and reappeared. I gazed in wonder. It had been red. Now it was white.
hunters_space_01_f000027|I picked it up and a white powder rubbed off upon my fingertips.|I picked it up and a white powder rubbed off upon my fingertips.
hunters_space_01_f000028|See. The lights whispered. We have turned it inside out The whispering continued.|See. The lights whispered. We have turned it inside out The whispering continued.
hunters_space_01_f000029|We are bringing you a gift. Our last gift, probably, because we are weary of your world and the affairs of men. Pygmies! Now, stand back from your desk It was such a command that I fairly leaped out of my chair and drew away from the desk.|We are bringing you a gift. Our last gift, probably, because we are weary of your world and the affairs of men. Pygmies! Now, stand back from your desk It was such a command that I fairly leaped out of my chair and drew away from the desk.
hunters_space_01_f000030|Still leaning upon it I stared in wonder at the shadow which was forming itself upon the cleared space by the side of my typewriter.|Still leaning upon it I stared in wonder at the shadow which was forming itself upon the cleared space by the side of my typewriter.
hunters_space_01_f000031|At first it was merely a dark square. Then it was a shadowy cube, growing denser all the time until it became a dim shape. The shape grew brighter.|At first it was merely a dark square. Then it was a shadowy cube, growing denser all the time until it became a dim shape. The shape grew brighter.
hunters_space_01_f000032|There was a tiny spitting sound, like two hot wires being touched together.|There was a tiny spitting sound, like two hot wires being touched together.
hunters_space_01_f000033|There was a smell in the room, not unpleasant but not pleasant either a completely alien smell. A wave of cold air struck me, and passed by, leaving me shivering.|There was a smell in the room, not unpleasant but not pleasant either a completely alien smell. A wave of cold air struck me, and passed by, leaving me shivering.
hunters_space_01_f000034|Our furnace came on with a start.|Our furnace came on with a start.
hunters_space_01_f000035|Then the lights were gone and I was looking in wonder at a leaden box, about a foot square. It had a hinged lid, and around the middle of it the figure of a snake was excellently carved.|Then the lights were gone and I was looking in wonder at a leaden box, about a foot square. It had a hinged lid, and around the middle of it the figure of a snake was excellently carved.
hunters_space_01_f000036|It held its tail in its mouth, locking the box securely. Its eyes were two great moonstones that appeared to look up at me with half-blind amusement winking at the wisdom they had forgotten and the fear that I was feeling.|It held its tail in its mouth, locking the box securely. Its eyes were two great moonstones that appeared to look up at me with half-blind amusement winking at the wisdom they had forgotten and the fear that I was feeling.
hunters_space_01_f000037|I touched the box and drew my hand away in pain. It was colder than cold.|I touched the box and drew my hand away in pain. It was colder than cold.
hunters_space_01_f000038|Desolate, burning cold.|Desolate, burning cold.
hunters_space_01_f000039|It was two hours before the box became warm enough or cool enough to touch. Then, after several experiments I got the snake's mouth open and the lid swung upward on chilled hinges.|It was two hours before the box became warm enough or cool enough to touch. Then, after several experiments I got the snake's mouth open and the lid swung upward on chilled hinges.
hunters_space_01_f000040|Within it was a manuscript. As soon as I looked at it I recognized the handwriting of my old friend, Doctor Jack Odin.|Within it was a manuscript. As soon as I looked at it I recognized the handwriting of my old friend, Doctor Jack Odin.
hunters_space_01_f000041|Well, it was just as before. It was more of a series of notes and jottings than a story. It took months to piece it together.|Well, it was just as before. It was more of a series of notes and jottings than a story. It took months to piece it together.
hunters_space_01_f000042|Several pages were badly burned and spotted. It was hard work and slow work And this is the tale that Jack Odin sent me from Somewhere.|Several pages were badly burned and spotted. It was hard work and slow work And this is the tale that Jack Odin sent me from Somewhere.
hunters_space_01_f000043|End of chapter 1.|End of chapter one.
hunters_space_02_f000001|Chapter 2 of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.|Chapter two of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.
hunters_space_02_f000002|Chapter 2.|Chapter two.
hunters_space_02_f000003|Jack Odin descended into the cavern or what Keefe had called the Hole for less than a hundred yards before his strong flashlight sent its lancing beam into a stone wall.|Jack Odin descended into the cavern or what Keefe had called the Hole for less than a hundred yards before his strong flashlight sent its lancing beam into a stone wall.
hunters_space_02_f000004|At his feet was a crevice which went straight down as though it had been measured by a giant square. He got to his knees and looked over.|At his feet was a crevice which went straight down as though it had been measured by a giant square. He got to his knees and looked over.
hunters_space_02_f000005|Playing his light around he detected a few ledges like narrow steps far below. It was pitch-dark down there, and not even his strong light could reach to the bottom.|Playing his light around he detected a few ledges like narrow steps far below. It was pitch-dark down there, and not even his strong light could reach to the bottom.
hunters_space_02_f000006|He tried tossing a few pebbles into it;|He tried tossing a few pebbles into it;
hunters_space_02_f000007|listening he heard the faint rattle of their fall, but could not be sure whether they had landed on one of the ledges or had reached bottom.|listening he heard the faint rattle of their fall, but could not be sure whether they had landed on one of the ledges or had reached bottom.
hunters_space_02_f000008|Looking about him, he found a weathered bit of limestone that thrust itself up like a small table. It did not look very substantial but it was his only hope.|Looking about him, he found a weathered bit of limestone that thrust itself up like a small table. It did not look very substantial but it was his only hope.
hunters_space_02_f000009|Odin had crammed his ammunition, food and canteen into a knapsack.|Odin had crammed his ammunition, food and canteen into a knapsack.
hunters_space_02_f000010|Looping the rope through it and his rifle strap, he lowered them over until he felt the rope slacken as his gun and supplies rested upon the first ledge.|Looping the rope through it and his rifle strap, he lowered them over until he felt the rope slacken as his gun and supplies rested upon the first ledge.
hunters_space_02_f000011|Releasing one end of the rope he carefully drew it back.|Releasing one end of the rope he carefully drew it back.
hunters_space_02_f000012|Now he knotted the rope about the stone and let the two lengths of it trail down toward the ledge. He had kept his flashlight which he thrust into his belt.|Now he knotted the rope about the stone and let the two lengths of it trail down toward the ledge. He had kept his flashlight which he thrust into his belt.
hunters_space_02_f000013|One other thing, a little miner's cap and light, now came into use.|One other thing, a little miner's cap and light, now came into use.
hunters_space_02_f000014|It was warm down there, and as soon as the cap with its lighted lamp was on his head, sweat began to pour down his neck. Suddenly he remembered a scene he had witnessed one morning in West Virginia so long ago that it should have been forgotten.|It was warm down there, and as soon as the cap with its lighted lamp was on his head, sweat began to pour down his neck. Suddenly he remembered a scene he had witnessed one morning in West Virginia so long ago that it should have been forgotten.
hunters_space_02_f000015|His car had stalled in a tiny town one evening. He had slept in the only hotel, but had got up before daybreak so he could start an early search for a mechanic.|His car had stalled in a tiny town one evening. He had slept in the only hotel, but had got up before daybreak so he could start an early search for a mechanic.
hunters_space_02_f000016|Looking up toward the hills he had seen a silent procession of lights going upward to some unknown mine. There was something grotesque about those climbing lights; the identity of the men was lost, and this was a crawling thing up there on the hillside.|Looking up toward the hills he had seen a silent procession of lights going upward to some unknown mine. There was something grotesque about those climbing lights; the identity of the men was lost, and this was a crawling thing up there on the hillside.
hunters_space_02_f000017|For a moment he felt himself feeling infinite pity for all the men everywhere who spent their days in the dark.|For a moment he felt himself feeling infinite pity for all the men everywhere who spent their days in the dark.
hunters_space_02_f000018|Then he laughed. Better feel a bit sorry for Jack Odin too. Getting ready to lower himself over a precipice, and not having the slightest idea when he would reach bottom.|Then he laughed. Better feel a bit sorry for Jack Odin too. Getting ready to lower himself over a precipice, and not having the slightest idea when he would reach bottom.
hunters_space_02_f000019|Or whether there was any bottom at all. The blackness beat at the little light. A startled bat left its upside-down perch and fluttered against his face,|Or whether there was any bottom at all. The blackness beat at the little light. A startled bat left its upside-down perch and fluttered against his face,
hunters_space_02_f000020|clicking its teeth in warning.|clicking its teeth in warning.
hunters_space_02_f000021|Well, one could stay here and think until doomsday. So, with a shrug of his big shoulders, he got a firm grip on his doubled rope and slid over the edge.|Well, one could stay here and think until doomsday. So, with a shrug of his big shoulders, he got a firm grip on his doubled rope and slid over the edge.
hunters_space_02_f000022|He went down and down until his shoulders ached. Once he got his feet down on an outcropping but dared not brace himself there for fear of loosening his rope from its unsteady mooring above.|He went down and down until his shoulders ached. Once he got his feet down on an outcropping but dared not brace himself there for fear of loosening his rope from its unsteady mooring above.
hunters_space_02_f000023|Then, at last, he came to the ledge with only a few feet of his doubled rope to spare.|Then, at last, he came to the ledge with only a few feet of his doubled rope to spare.
hunters_space_02_f000024|After resting the little cap and lamp in a secure cranny he lay flat on his stomach for a few minutes, gulping great draughts of air and trying to rub some feeling back into his aching shoulders.|After resting the little cap and lamp in a secure cranny he lay flat on his stomach for a few minutes, gulping great draughts of air and trying to rub some feeling back into his aching shoulders.
hunters_space_02_f000025|Then he got up and started looking about for some anchorage. Some twenty feet away, he found a little spur of rock.|Then he got up and started looking about for some anchorage. Some twenty feet away, he found a little spur of rock.
hunters_space_02_f000026|The second ledge was negotiated in the same fashion as the first. It was scarcely four feet in width.|The second ledge was negotiated in the same fashion as the first. It was scarcely four feet in width.
hunters_space_02_f000027|Leaning over it, with his powerful flashlight spraying a beam of light downward, he saw that there were no more ledges between him and the floor of the crevice below.|Leaning over it, with his powerful flashlight spraying a beam of light downward, he saw that there were no more ledges between him and the floor of the crevice below.
hunters_space_02_f000028|Not even a single out-cropping. The wall was smooth and glassy as though at one time, for ages and ages, water had flown down it and had left a glossy coating upon its face.|Not even a single out-cropping. The wall was smooth and glassy as though at one time, for ages and ages, water had flown down it and had left a glossy coating upon its face.
hunters_space_02_f000029|Moreover, when he awkwardly dangled his rope into the abyss with one hand, and kept his light upon it with the other, he found to his disappointment that not even a single length would reach to the dimly-seen floor below.|Moreover, when he awkwardly dangled his rope into the abyss with one hand, and kept his light upon it with the other, he found to his disappointment that not even a single length would reach to the dimly-seen floor below.
hunters_space_02_f000030|He sat there for a while, chewing at a bit of jerked beef, trying to get his strength back, racking his brains for a plan.|He sat there for a while, chewing at a bit of jerked beef, trying to get his strength back, racking his brains for a plan.
hunters_space_02_f000031|But he could think of nothing except getting back to Opal. Then, at last, with a sigh and maybe a curse at the things that happen and maybe a bit of a prayer, he began to tie a loop, lasso fashion, in his rope.|But he could think of nothing except getting back to Opal. Then, at last, with a sigh and maybe a curse at the things that happen and maybe a bit of a prayer, he began to tie a loop, lasso fashion, in his rope.
hunters_space_02_f000032|Finding another spur of rock became a problem. This ledge was smooth. But in time he found one and drew his loop tightly about it.|Finding another spur of rock became a problem. This ledge was smooth. But in time he found one and drew his loop tightly about it.
hunters_space_02_f000033|Rolling the knapsack up into a ball and tying it securely, he threw it over the brink. Listening, he heard it land and bounce two or three times.|Rolling the knapsack up into a ball and tying it securely, he threw it over the brink. Listening, he heard it land and bounce two or three times.
hunters_space_02_f000034|The gun was slung over his shoulder. The miner's cap and lamp went back upon his head. He stuffed his pockets full of ammunition and slid over the edge.|The gun was slung over his shoulder. The miner's cap and lamp went back upon his head. He stuffed his pockets full of ammunition and slid over the edge.
hunters_space_02_f000035|Once he nearly lost his grip on the single strand and slid downward for a yard or two with the rough coils taking the hide off his palms.|Once he nearly lost his grip on the single strand and slid downward for a yard or two with the rough coils taking the hide off his palms.
hunters_space_02_f000036|But he held on. And at last he was dangling at the end of the rope like a plumb-bob. Carefully he tightened his grip with his right hand and let go with the left.|But he held on. And at last he was dangling at the end of the rope like a plumb-bob. Carefully he tightened his grip with his right hand and let go with the left.
hunters_space_02_f000037|His shoulder creaked, and fangs of pain struck at his wrist and elbow.|His shoulder creaked, and fangs of pain struck at his wrist and elbow.
hunters_space_02_f000038|But he hung on. Playing the flashlight below him, he saw that the floor of the crevice was still many yards away. It seemed to be of sand, but he was not sure.|But he hung on. Playing the flashlight below him, he saw that the floor of the crevice was still many yards away. It seemed to be of sand, but he was not sure.
hunters_space_02_f000039|Limestone could be deceiving. Putting the light back in his belt, he began feeling along the wall. It was smooth. Finally, reaching down as far as he could,|Limestone could be deceiving. Putting the light back in his belt, he began feeling along the wall. It was smooth. Finally, reaching down as far as he could,
hunters_space_02_f000040|he found a little hole scarcely large enough for one hand.|he found a little hole scarcely large enough for one hand.
hunters_space_02_f000041|There was no time left to consider. Getting his fingers into it he turned loose of the rope and dropped down. It felt as though his left shoulder was tearing loose, but he held his grip.|There was no time left to consider. Getting his fingers into it he turned loose of the rope and dropped down. It felt as though his left shoulder was tearing loose, but he held his grip.
hunters_space_02_f000042|Kicking about he found a toe-hold in the wall and finally another grip for his hand.|Kicking about he found a toe-hold in the wall and finally another grip for his hand.
hunters_space_02_f000043|In this way, Odin went down for nearly a dozen yards. But at last he could find neither a grip for his hands nor a rest for his feet.|In this way, Odin went down for nearly a dozen yards. But at last he could find neither a grip for his hands nor a rest for his feet.
hunters_space_02_f000044|He did not care now. The pain in his shoulders was becoming unbearable. Taking one great gulp of air, he released his hold on the wall and thrust his body out into space.|He did not care now. The pain in his shoulders was becoming unbearable. Taking one great gulp of air, he released his hold on the wall and thrust his body out into space.
hunters_space_02_f000045|The little light in his cap went out. Odin fell through darkness.|The little light in his cap went out. Odin fell through darkness.
hunters_space_02_f000046|He fell into soft sand, doubling up as his feet touched it. Odin rolled over and over, losing both flashlight and gun as he tumbled.|He fell into soft sand, doubling up as his feet touched it. Odin rolled over and over, losing both flashlight and gun as he tumbled.
hunters_space_02_f000047|Then he came up against hard rock, with most of the wind knocked out of him, and lay there gasping, feeling about him with frantic hands for the light and the gun.|Then he came up against hard rock, with most of the wind knocked out of him, and lay there gasping, feeling about him with frantic hands for the light and the gun.
hunters_space_02_f000048|The old terror of the dark swept over him as he clutched this way and that and found nothing. Then he got a grip on himself and laughed at his fears remembering that he had matches in his pockets.|The old terror of the dark swept over him as he clutched this way and that and found nothing. Then he got a grip on himself and laughed at his fears remembering that he had matches in his pockets.
hunters_space_02_f000049|The spurt of a match showed him his miner's cap not five feet away. He must have missed it by inches as he was clutching about in the dark.|The spurt of a match showed him his miner's cap not five feet away. He must have missed it by inches as he was clutching about in the dark.
hunters_space_02_f000050|He lit it and soon found gun and flash.|He lit it and soon found gun and flash.
hunters_space_02_f000051|Pointing his light upward, he could faintly see the knotted end of his rope swinging back and forth up there against the precipice.|Pointing his light upward, he could faintly see the knotted end of his rope swinging back and forth up there against the precipice.
hunters_space_02_f000052|It was his only link with the outside world, and it was far out of reach. He shrugged and played the light about the cavern into which he had ventured.|It was his only link with the outside world, and it was far out of reach. He shrugged and played the light about the cavern into which he had ventured.
hunters_space_02_f000053|The walls of the crevice into which he had fallen were never over ten feet apart and in spots were less than three. But the sandy bed sloped noticeably downward, so downward he went.|The walls of the crevice into which he had fallen were never over ten feet apart and in spots were less than three. But the sandy bed sloped noticeably downward, so downward he went.
hunters_space_02_f000054|Only pausing occasionally to take a mouthful of water from his canteen or eat a bite or two. His watch had been broken in that last fall. He threw it away.|Only pausing occasionally to take a mouthful of water from his canteen or eat a bite or two. His watch had been broken in that last fall. He threw it away.
hunters_space_02_f000055|The air grew hotter. So hot at last that Odin had to pause more often and rest upon the sand. But it too was hot, as though it had never known anything but this one temperature.|The air grew hotter. So hot at last that Odin had to pause more often and rest upon the sand. But it too was hot, as though it had never known anything but this one temperature.
hunters_space_02_f000056|Stumbling along, his nostrils and chest burning, and something thumping in his ears, he finally fell to his knees. Jack Odin lay there for a long time.|Stumbling along, his nostrils and chest burning, and something thumping in his ears, he finally fell to his knees. Jack Odin lay there for a long time.
hunters_space_02_f000057|But the floor of the cavern still led downward. So, with nothing else left in his mind, he got to his knees and crawled on.|But the floor of the cavern still led downward. So, with nothing else left in his mind, he got to his knees and crawled on.
hunters_space_02_f000058|That last determination saved him. A cool breath of air struck him in the face. He toiled downward and was soon in a wider cavern that was so cold that he was shivering.|That last determination saved him. A cool breath of air struck him in the face. He toiled downward and was soon in a wider cavern that was so cold that he was shivering.
hunters_space_02_f000059|He rested again and then went on. The cold grew worse.|He rested again and then went on. The cold grew worse.
hunters_space_02_f000060|Odin came to a tunnel of ice. The faint smell of ammonia set him to coughing. It was nearly as uncomfortable here as the heat had been a few hours before.|Odin came to a tunnel of ice. The faint smell of ammonia set him to coughing. It was nearly as uncomfortable here as the heat had been a few hours before.
hunters_space_02_f000061|But he kept on. Finally, there was no ice left on the walls about him. The air grew warmer.|But he kept on. Finally, there was no ice left on the walls about him. The air grew warmer.
hunters_space_02_f000062|Soon the walls opened out until he could scarcely see them with his flashlight. Playing it upward he could only get a faint reflection from the stalactites hundreds of feet away.|Soon the walls opened out until he could scarcely see them with his flashlight. Playing it upward he could only get a faint reflection from the stalactites hundreds of feet away.
hunters_space_02_f000063|At length Odin came to a vast room where his light could reach neither walls nor ceiling. But in the center of it was a tiny pool, rimmed by white sand and a shell-like lip of limestone.|At length Odin came to a vast room where his light could reach neither walls nor ceiling. But in the center of it was a tiny pool, rimmed by white sand and a shell-like lip of limestone.
hunters_space_02_f000064|He got to his knees and tested the water. It was clean but old and old and old. Filling his canteen, he opened his knapsack and prepared a hearty meal.|He got to his knees and tested the water. It was clean but old and old and old. Filling his canteen, he opened his knapsack and prepared a hearty meal.
hunters_space_02_f000065|He was dog-tired but before he slept he walked around the little pool. He had heard of fish being found in underground caverns or even the fossils of things that had once been there.|He was dog-tired but before he slept he walked around the little pool. He had heard of fish being found in underground caverns or even the fossils of things that had once been there.
hunters_space_02_f000066|But here Odin found no sign of life. Nothing except traces of the vast underground river that must have once swept through here long ago.|But here Odin found no sign of life. Nothing except traces of the vast underground river that must have once swept through here long ago.
hunters_space_02_f000067|It was a desolate feeling to stand there with his beam of light pushing the dark away. Alone in a place which apparently had never known the beat of life before.|It was a desolate feeling to stand there with his beam of light pushing the dark away. Alone in a place which apparently had never known the beat of life before.
hunters_space_02_f000068|And then Odin saw it A footprint. A small footprint which must have been made by someone who wore moccasins or sandals. He recognized it at once.|And then Odin saw it A footprint. A small footprint which must have been made by someone who wore moccasins or sandals. He recognized it at once.
hunters_space_02_f000069|He had seen hundreds of those footprints!|He had seen hundreds of those footprints!
hunters_space_02_f000070|A Neebling had been there. How long before he did not know. But, certainly, Odin's theory had been right. The cavern led the way to Opal.|A Neebling had been there. How long before he did not know. But, certainly, Odin's theory had been right. The cavern led the way to Opal.
hunters_space_02_f000071|Jack Odin was not sure how many times he ate and slept as he toiled his way downward. The long dead river had carved cunningly and beautifully upon the walls of the tunnel.|Jack Odin was not sure how many times he ate and slept as he toiled his way downward. The long dead river had carved cunningly and beautifully upon the walls of the tunnel.
hunters_space_02_f000072|And the dripping waters of centuries had fashioned pedestals, carvings, and statues that were beautiful indeed. Ordinarily he would have been interested in these,|And the dripping waters of centuries had fashioned pedestals, carvings, and statues that were beautiful indeed. Ordinarily he would have been interested in these,
hunters_space_02_f000073|for Jack Odin was a man who loved beautiful things, but now he had but one idea: To go on.|for Jack Odin was a man who loved beautiful things, but now he had but one idea: To go on.
hunters_space_02_f000074|Occasionally he found more footprints. But always near the scattered pools. The dwarfs must have kept against the walls and come out upon the sand only to quench their thirst.|Occasionally he found more footprints. But always near the scattered pools. The dwarfs must have kept against the walls and come out upon the sand only to quench their thirst.
hunters_space_02_f000075|He wondered about that. And a possible answer came to him. They had been there without a light feeling their way, almost although he knew that they could see in the dark to a certain extent.|He wondered about that. And a possible answer came to him. They had been there without a light feeling their way, almost although he knew that they could see in the dark to a certain extent.
hunters_space_02_f000076|He wondered at their courage. Here, with two lights, the staring darkness and the silent empty spaces were making him shaky.|He wondered at their courage. Here, with two lights, the staring darkness and the silent empty spaces were making him shaky.
hunters_space_02_f000077|The descent became sharper. At times he slid down long grades of limestone.|The descent became sharper. At times he slid down long grades of limestone.
hunters_space_02_f000078|Now and then he came to sharp drops where little waterfalls had once been.|Now and then he came to sharp drops where little waterfalls had once been.
hunters_space_02_f000079|But there was usually sand below and he was able to leap down without much harm, other than a jolt or two.|But there was usually sand below and he was able to leap down without much harm, other than a jolt or two.
hunters_space_02_f000080|But once he came to one of these drops that must have measured a hundred feet. He found a few rocky steps where the little precipice met the wall and clambered down,|But once he came to one of these drops that must have measured a hundred feet. He found a few rocky steps where the little precipice met the wall and clambered down,
hunters_space_02_f000081|but it was rough going, and he had to make a jump for it at the last.|but it was rough going, and he had to make a jump for it at the last.
hunters_space_02_f000082|Picking himself up and dusting the sand from his clothes he thought he saw a white gleam over against the wall. His light found a squat skeleton sitting there grimacing at him.|Picking himself up and dusting the sand from his clothes he thought he saw a white gleam over against the wall. His light found a squat skeleton sitting there grimacing at him.
hunters_space_02_f000083|He touched the skull and it fell to powder.|He touched the skull and it fell to powder.
hunters_space_02_f000084|Here was one of the dwarfs a Neebling but the bones did not belong to this age; the poor fellow must have lain there for centuries.|Here was one of the dwarfs a Neebling but the bones did not belong to this age; the poor fellow must have lain there for centuries.
hunters_space_02_f000085|Doctor Jack Odin was never able to get all of his medical training out of his mind. Examining the skeleton he found that both legs had been broken.|Doctor Jack Odin was never able to get all of his medical training out of his mind. Examining the skeleton he found that both legs had been broken.
hunters_space_02_f000086|Apparently, the little man had been climbing up or down the precipice Odin had just negotiated and had slipped and fallen.|Apparently, the little man had been climbing up or down the precipice Odin had just negotiated and had slipped and fallen.
hunters_space_02_f000087|His legs shattered, and infection setting in, the Neebling had crawled against the wall to die.|His legs shattered, and infection setting in, the Neebling had crawled against the wall to die.
hunters_space_02_f000088|Odin could imagine him doing that last task silently. They were akin to the animals that they loved, the Neeblings. They did not complain.|Odin could imagine him doing that last task silently. They were akin to the animals that they loved, the Neeblings. They did not complain.
hunters_space_02_f000089|Hours and hours later, as Odin toiled his way downward, he became aware of a growing stench in the stale air.|Hours and hours later, as Odin toiled his way downward, he became aware of a growing stench in the stale air.
hunters_space_02_f000090|Even this was welcome, for he was becoming obsessed with the idea that the cavern had not changed since the long-ago river had died, and that nothing in it could change.|Even this was welcome, for he was becoming obsessed with the idea that the cavern had not changed since the long-ago river had died, and that nothing in it could change.
hunters_space_02_f000091|It was an odor of rottenness. Where there was decay, life had also been.|It was an odor of rottenness. Where there was decay, life had also been.
hunters_space_02_f000092|By the time he reached the next pool the putrescence which hung on the stale air was almost sickening. There he made his second discovery.|By the time he reached the next pool the putrescence which hung on the stale air was almost sickening. There he made his second discovery.
hunters_space_02_f000093|A saurian of some sort, with squat legs and long, fanged mouth, had died there. Half-decayed, it made a little phosphor glowing in the dark and its long teeth flashed as he played a beam of light over it.|A saurian of some sort, with squat legs and long, fanged mouth, had died there. Half-decayed, it made a little phosphor glowing in the dark and its long teeth flashed as he played a beam of light over it.
hunters_space_02_f000094|Noisome as it was, the sight of it made his heart quicken, for here was one of the things of Opal. It must have crawled up here from that silent sea.|Noisome as it was, the sight of it made his heart quicken, for here was one of the things of Opal. It must have crawled up here from that silent sea.
hunters_space_02_f000095|Then a feeling of gloom and dread swept over him. What had happened down there to make this thing leave its home and crawl here to die!|Then a feeling of gloom and dread swept over him. What had happened down there to make this thing leave its home and crawl here to die!
hunters_space_02_f000096|Odin went on and on, and the smell of the thing behind him slowly faded from the air.|Odin went on and on, and the smell of the thing behind him slowly faded from the air.
hunters_space_02_f000097|Then, as he rounded a corner, Odin blinked his eyes. Far ahead of him was a red glow. Taking a deep breath, he thought he smelled smoke.|Then, as he rounded a corner, Odin blinked his eyes. Far ahead of him was a red glow. Taking a deep breath, he thought he smelled smoke.
hunters_space_02_f000098|Or was it sulphur? He had never been able to get one grim possibility out of his mind. What if some of the fires and lava streams of inner earth should lie between him and the world of Opal?|Or was it sulphur? He had never been able to get one grim possibility out of his mind. What if some of the fires and lava streams of inner earth should lie between him and the world of Opal?
